Time;J_MUR_T1;TP_EF_T1
21.11.2015 8:18:0;85.34;81.92
21.11.2015 8:19:0;85.34;81.92
21.11.2015 8:20:0;85.17;81.83
21.11.2015 8:21:0;84.95;81.92
21.11.2015 8:22:0;84.74;81.92
21.11.2015 8:23:0;84.43;81.83
21.11.2015 8:24:0;84.17;81.83
21.11.2015 8:25:0;84.09;81.70
21.11.2015 8:26:0;83.87;81.70
21.11.2015 8:27:0;83.78;81.61
21.11.2015 8:28:0;83.65;81.61
21.11.2015 8:29:0;83.56;81.61
21.11.2015 8:30:0;83.56;81.61
21.11.2015 8:31:0;83.56;81.61
21.11.2015 8:32:0;83.61;81.61
21.11.2015 8:33:0;83.61;81.61
21.11.2015 8:34:0;83.65;81.83
21.11.2015 8:35:0;83.74;81.83
21.11.2015 8:36:0;83.74;81.83
21.11.2015 8:37:0;83.74;81.92
21.11.2015 8:38:0;83.74;81.92
21.11.2015 8:39:0;83.65;82.05
21.11.2015 8:40:0;83.65;81.92
21.11.2015 8:41:0;83.56;81.83
21.11.2015 8:42:0;83.56;81.92
21.11.2015 8:43:0;83.43;81.83
21.11.2015 8:44:0;83.39;81.83
21.11.2015 8:45:0;83.30;81.83
21.11.2015 8:46:0;83.13;81.83
21.11.2015 8:47:0;83.13;81.70
21.11.2015 8:48:0;83.00;81.70
21.11.2015 8:49:0;82.91;81.70
21.11.2015 8:50:0;83.09;81.70
21.11.2015 8:51:0;82.91;81.61
21.11.2015 8:52:0;82.91;81.61
21.11.2015 8:53:0;82.91;81.70
21.11.2015 8:54:0;82.96;81.61
21.11.2015 8:55:0;83.09;81.61
21.11.2015 8:56:0;83.17;81.70
21.11.2015 8:57:0;83.35;81.61
21.11.2015 8:58:0;83.43;81.57
21.11.2015 8:59:0;83.52;81.61
21.11.2015 9:0:0;83.61;81.61
21.11.2015 9:1:0;83.78;81.61
21.11.2015 9:2:0;83.83;81.57
21.11.2015 9:3:0;83.96;81.44
21.11.2015 9:4:0;83.96;81.44
21.11.2015 9:5:0;84.04;81.35
21.11.2015 9:6:0;84.04;81.22
21.11.2015 9:7:0;84.04;81.13
21.11.2015 9:8:0;84.04;81.00
21.11.2015 9:9:0;84.17;80.92
21.11.2015 9:10:0;84.09;80.79
21.11.2015 9:11:0;84.17;80.79
21.11.2015 9:12:0;84.09;80.79
21.11.2015 9:13:0;84.09;80.79
21.11.2015 9:14:0;84.09;81.00
21.11.2015 9:15:0;84.00;81.00
21.11.2015 9:16:0;84.00;81.22
21.11.2015 9:17:0;84.00;81.44
21.11.2015 9:18:0;84.09;81.57
21.11.2015 9:19:0;84.09;81.48
21.11.2015 9:20:0;84.09;81.83
21.11.2015 9:21:0;84.09;81.83
21.11.2015 9:22:0;84.04;82.05
21.11.2015 9:23:0;84.04;82.26
21.11.2015 9:24:0;83.87;82.26
21.11.2015 9:25:0;83.87;82.26
21.11.2015 9:26:0;83.87;82.74
21.11.2015 9:27:0;83.83;82.74
21.11.2015 9:28:0;83.83;82.91
21.11.2015 9:29:0;83.74;82.91
21.11.2015 9:30:0;83.65;83.09
21.11.2015 9:31:0;83.56;82.78
21.11.2015 9:32:0;83.56;82.78
21.11.2015 9:33:0;83.56;82.70
21.11.2015 9:34:0;83.56;82.44
21.11.2015 9:35:0;83.56;82.31
21.11.2015 9:36:0;83.65;82.13
21.11.2015 9:37:0;83.74;82.05
21.11.2015 9:38:0;83.74;81.70
21.11.2015 9:39:0;83.74;81.83
21.11.2015 9:40:0;83.65;81.83
21.11.2015 9:41:0;83.65;81.83
21.11.2015 9:42:0;83.56;81.61
21.11.2015 9:43:0;83.56;81.61
21.11.2015 9:44:0;83.39;81.61
21.11.2015 9:45:0;83.43;81.61
21.11.2015 9:46:0;83.52;81.70
21.11.2015 9:47:0;83.52;81.83
21.11.2015 9:48:0;83.52;81.83
21.11.2015 9:49:0;83.43;81.83
21.11.2015 9:50:0;83.56;81.83
21.11.2015 9:51:0;83.56;81.70
21.11.2015 9:52:0;83.56;81.61
21.11.2015 9:53:0;83.43;81.48
21.11.2015 9:54:0;83.39;81.48
21.11.2015 9:55:0;83.39;81.35
